id,name,common_name,active_substance,therapeutic_area,group
1129,Melatonin Neurim,melatonin,melatonin,Sleep Initiation and Maintenance Disorders,Psycholeptics
1130,Gilenya,fingolimod,fingolimod hydrochlorideÿ,Multiple Sclerosis,Immunosuppressants
1131,Victoza,liraglutide,liraglutide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1132,Pandemic Influenza Vaccine H5N1 Baxter AG,"pandemic influenza vaccine (H5N1) (whole virion, inactivated, prepared in cell culture)","influenza vaccine (whole virion, inactivated) containing antigen of: A/Vietnam/1203/2004 (H5N1)","Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1133,Tandemact,pioglitazone;glimepiride,pioglitazone;glimepiride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1134,Pemazyre,pemigatinib,pemigatinib,Cholangiocarcinoma,Antineoplastic agents
1135,Ledaga,chlormethine,Chlormethine,Mycosis Fungoides,Antineoplastic agents
1136,Irbesartan Teva,irbesartan,irbesartan,Hypertension,Agents acting on the renin-angiotensin system
1137,Revolade,eltrombopag,Eltrombopag,"Purpura, Thrombocytopenic, Idiopathic",Other systemic hemostatics;Antihemorrhagics
1138,Zefylti,filgrastim,filgrastim,Neutropenia;Chemotherapy-Induced Febrile Neutropenia,filgrastim
1139,Eurartesim,piperaquine tetraphosphate;artenimol,piperaquine tetraphosphate;Artenimol,Malaria,Antiprotozoals
1140,NovoMix,insulin aspart,insulin aspart,Diabetes Mellitus,Drugs used in diabetes
1141,Actos,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1142,Kanuma,sebelipase alfa,sebelipase alfa,"Lipid Metabolism, Inborn Errors",Other alimentary tract and metabolism products
1143,Ecansya (previously Capecitabine Krka),capecitabine,capecitabine,Colonic Neoplasms;Breast Neoplasms;Colorectal Neoplasms;Stomach Neoplasms,Antineoplastic agents
1144,Regkirona,regdanvimab,Regdanvimab,COVID-19 virus infection,Immune sera and immunoglobulins
1145,Tolucombi,telmisartan;hydrochlorothiazide,Telmisartan;hydrochlorothiazide,Hypertension,telmisartan and diuretics
1146,Azilect,rasagiline,rasagiline,Parkinson Disease,Anti-Parkinson drugs
1147,Nexpovio,selinexor,Selinexor,Multiple Myeloma,Antineoplastic agents
1148,Jalra,vildagliptin,vildagliptin,"Diabetes Mellitus, Type 2",Dipeptidyl peptidase 4 (DPP-4) inhibitors;Drugs used in diabetes
1149,Galvus,vildagliptin,vildagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1150,Xiliarx,vildagliptin,vildagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1151,Competact,pioglitazone;metformin,pioglitazone;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1152,Lacosamide Accord,lacosamide,lacosamide,Epilepsy,Antiepileptics
1153,Tivicay,dolutegravir,dolutegravir,HIV Infections,Antivirals for systemic use
1154,Aimovig,erenumab,erenumab,Migraine Disorders,Analgesics
1155,Tolvaptan Accord,tolvaptan,Tolvaptan,Inappropriate ADH Syndrome,Diuretics
1156,Lagevrio,molnupiravir,molnupiravir,COVID-19 virus infection,Antivirals for systemic use
1157,Vpriv,velaglucerase alfa,velaglucerase alfa,Gaucher Disease,Other alimentary tract and metabolism products
1158,Lumevoq,lenadogene nolparvovec,lenadogene nolparvovec,"Optic Atrophy, Hereditary, Leber",Ophthalmologicals
1159,Fluenz Tetra,"influenza vaccine (live attenuated, nasal)","A/Darwin/9/2021 (H3N2) - like strain (A/Norway/16606/2021, MEDI 355293) / A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/1/2020, MEDI 340505) / B/Austria/1359417/2021 - like strain (B/Austria/1359417/2021, MEDI 355292) / B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, MEDI 306444)","Influenza, Human","Influenza vaccines;Influenza, live attenuated"
1160,Busilvex,busulfan,busulfan,Hematopoietic Stem Cell Transplantation,Antineoplastic agents
1161,Arikayce liposomal,amikacin,Amikacin sulfate,Respiratory Tract Infections,Antibacterials for systemic use
1162,Pifeltro,doravirine,doravirine,HIV Infections,Antivirals for systemic use
1163,Delstrigo,doravirine;lamivudine;tenofovir disoproxil,doravirine;lamivudine;tenofovir disoproxil fumarate,HIV Infections,"Antivirals for treatment of HIV infections, combinations"
1164,Sogroya,somapacitan,Somapacitan,Growth,Pituitary and hypothalamic hormones and analogues
1165,Gefitinib Mylan,gefitinib,gefitinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents;Protein kinase inhibitors
1166,Sohonos,palovarotene,Palovarotene,Myositis Ossificans,Other drugs for disorders of the musculo-skeletal system
1167,Xofluza,baloxavir marboxil,Baloxavir marboxil,"Influenza, Human",Antivirals for systemic use
1168,Retacrit,epoetin zeta,epoetin zeta,"Anemia;Blood Transfusion, Autologous;Kidney Failure, Chronic;Cancer",Other antianemic preparations
1169,Kovaltry,octocog alfa,Octocog alfa,Hemophilia A,Antihemorrhagics
1170,Miglustat Dipharma,miglustat,miglustat,Gaucher Disease,Other alimentary tract and metabolism products
1171,Qaialdo,spironolactone,spironolactone,Edema;Heart Failure;Liver Cirrhosis;Ascites;Nephrotic Syndrome;Hyperaldosteronism;Essential Hypertension,Antihypertensives and diuretics in combination
1172,Vipidia,alogliptin benzoate,alogliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Dipeptidyl peptidase 4 (DPP-4) inhibitors
1173,NutropinAq,somatropin,somatropin,"Turner Syndrome;Dwarfism, Pituitary",Pituitary and hypothalamic hormones and analogues
1174,Givlaari,givosiran,Givosiran,"Porphyrias, Hepatic",Various alimentary tract and metabolism products
1175,Carbaglu,carglumic acid,carglumic acid,"Amino Acid Metabolism, Inborn Errors;Propionic Acidemia",Other alimentary tract and metabolism products
1176,Susvimo,ranibizumab,ranibizumab,Wet Macular Degeneration,ranibizumab
1177,Ceprotin,human protein C,human protein C,Purpura Fulminans;Protein C Deficiency,Antithrombotic agents
1178,Fotivda,tivozanib hydrochloride monohydrate,tivozanib,"Carcinoma, Renal Cell",Antineoplastic agents
1179,Iressa,gefitinib,gefitinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
1180,Plegridy,peginterferon beta-1a,peginterferon beta-1a,Multiple Sclerosis,Immunostimulants
1181,Jivi,damoctocog alfa pegol,Damoctocog alfa pegol,Hemophilia A,Antihemorrhagics
1182,Ivabradine Zentiva,ivabradine,ivabradine hydrochloride,Angina Pectoris;Heart Failure,Cardiac therapy
1183,Twynsta,telmisartan;amlodipine,Telmisartan;amlodipine,Hypertension,Agents acting on the renin-angiotensin system
1184,Feraheme,ferumoxytol,Ferumoxytol,"Anemia, Iron-Deficiency",Antianemic preparations
1185,Ifirmacombi,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
1186,Praxbind,idarucizumab,idarucizumab,Hemorrhage,All other therapeutic products
1187,Lenalidomide Krka d.d.,lenalidomide,lenalidomide hydrochloride hydrate,"Multiple Myeloma;Lymphoma, Follicular;Myelodysplastic Syndromes",Immunosuppressants
1188,Asimtufii,aripiprazole,Aripiprazole monohydrate,Schizophrenia,aripiprazole
1189,Levetiracetam Hospira,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1190,Tigecycline Accord,tigecycline,Tigecycline,"Soft Tissue Infections;Intraabdominal Infections;Bacterial Infections;Skin Diseases, Infectious",Antibacterials for systemic use
1191,Truvelog Mix 30,insulin aspart,insulin aspart,Diabetes Mellitus,Drugs used in diabetes
1192,Crysvita,burosumab,Burosumab,"Hypophosphatemia, Familial;Hypophosphatemic Rickets, X-Linked Dominant;Osteomalacia",Drugs for treatment of bone diseases
1193,Byetta,exenatide,exenatide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1194,Xyrem,sodium oxybate,sodium oxybate,Cataplexy;Narcolepsy,Other nervous system drugs
1195,Trimbow,beclometasone;formoterol;glycopyrronium bromide,Beclometasone dipropionate;formoterol fumarate dihydrate;Glycopyrronium bromide,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1196,Riarify (previously CHF 5993 Chiesi Farmaceutici S.p.A.),beclometasone;formoterol,formoterol fumarate dihydrate;glycopyrronium;Beclometasone dipropionate,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1197,Sibnayal,potassium citrate;potassium hydrogen carbonate,Potassium citrate monohydrated;Potassium hydrogen carbonate,"Acidosis, Renal Tubular",Mineral supplements
1198,Matever,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1199,Luminity,perflutren,perflutren,Echocardiography,Contrast media
1200,Ecalta,anidulafungin,anidulafungin,Candidiasis,Antimycotics for systemic use
1201,Clopidogrel Zentiva (previously Clopidogrel Winthrop),clopidogrel,clopidogrel,Stroke;Peripheral Vascular Diseases;Myocardial Infarction;Acute Coronary Syndrome,Antithrombotic agents
1202,Levetiracetam ratiopharm,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1203,Zydelig,idelalisib,Idelalisib,"Lymphoma, Non-Hodgkin;Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents;Other antineoplastic agents
1204,Oxlumo,Lumasiran,Lumasiran sodium,"Hyperoxaluria, Primary",Other alimentary tract and metabolism products
1205,Levetiracetam Actavis,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1206,Levetiracetam Actavis Group,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1207,Tidhesco,ivosidenib,Ivosidenib,"Leukemia, Myeloid, Acute",Antineoplastic agents
1208,Levetiracetam Teva,levetiracetam,levetiracetam,Epilepsy,Nervous system
1209,Giotrif,afatinib,afatinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
1210,Levetiracetam Accord,levetiracetam,levetiracetam,Epilepsy,Antiepileptics
1211,Dexdor,dexmedetomidine,Dexmedetomidine hydrochloride,Conscious Sedation,Psycholeptics
1212,Duavive,oestrogens conjugated;bazedoxifene,oestrogens conjugated;bazedoxifene,Postmenopause,conjugated estrogens and bazedoxifene
1213,Sialanar,glycopyrronium bromide,Glycopyrronium bromide,Sialorrhea,Drugs for functional gastrointestinal disorders
1214,Nerlynx,neratinib,neratinib,Breast Neoplasms,Antineoplastic agents
1215,Privigen,human normal immunoglobulin (IVIg),human normal immunoglobulin (IVIg),"Purpura, Thrombocytopenic, Idiopathic;Bone Marrow Transplantation;Immunologic Deficiency Syndromes;Guillain-Barre Syndrome;Mucocutaneous Lymph Node Syndrome",Immune sera and immunoglobulins
1216,Nitisinone MDK (previously Nitisinone MendeliKABS),nitisinone,nitisinone,Tyrosinemias,Other alimentary tract and metabolism products
1217,Omblastys,iodine (131I) omburtamab,iodine (131I) omburtamab,Neuroblastoma,Therapeutic radiopharmaceuticals
1218,Maviret,glecaprevir;pibrentasvir,glecaprevir;pibrentasvir,"Hepatitis C, Chronic",Antivirals for systemic use
1219,Exelon,rivastigmine,rivastigmine,Dementia;Alzheimer Disease;Parkinson Disease,Psychoanaleptics
1220,Amversio,betaine anhydrous,betaine,Homocystinuria,Other alimentary tract and metabolism products
1221,Lutetium (177Lu) chloride Billev (previously Illuzyce),lutetium (177Lu) chloride,lutetium (177Lu) chloride,Radionuclide Imaging,Therapeutic radiopharmaceuticals
1222,Atazanavir Krka,atazanavir,atazanavir (as sulfate),HIV Infections,Antivirals for systemic use
1223,Segluromet,ertugliflozin;metformin hydrochloride,ertugliflozin l-pyroglutamic acid;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
1224,SonoVue,sulphur hexafluoride,sulphur hexafluoride,Ultrasonography;Echocardiography,Contrast media
1225,Nityr,nitisinone,nitisinone,Tyrosinemias,Other alimentary tract and metabolism products
1226,Oxervate,cenegermin,Recombinant human nerve growth factor,Keratitis,Ophthalmologicals
1227,Zoledronic acid Actavis,zoledronic acid,zoledronic acid monohydrate,"Fractures, Bone",Drugs for treatment of bone diseases
1228,Desloratadine Actavis,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Urticaria;Rhinitis, Allergic, Seasonal",Antihistamines for systemic use
1229,Vildagliptin / Metformin hydrochloride Accord,vildagliptin / metformin hydrochloride,metformin hydrochloride;vildagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1230,Empliciti,elotuzumab,Elotuzumab,Multiple Myeloma,Antineoplastic agents
1231,Pioglitazone Actavis,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1232,Ebilfumin,oseltamivir,oseltamivir,"Influenza, Human",Antivirals for systemic use;Neuraminidase inhibitors
1233,Rebif,interferon beta-1a,interferon beta-1a,Multiple Sclerosis,Immunostimulants
1234,Rapilysin,reteplase,reteplase,Myocardial Infarction,Antithrombotic agents
1235,Potactasol,topotecan,topotecan,Uterine Cervical Neoplasms;Small Cell Lung Carcinoma,Antineoplastic agents
1236,Pombiliti,cipaglucosidase alfa,Cipaglucosidase alfa,Glycogen Storage Disease Type II,Other alimentary tract and metabolism products
1237,Cinqaero,reslizumab,Reslizumab,Asthma,Other systemic drugs for obstructive airway diseases
1238,Ixiaro,"Japanese encephalitis vaccine (inactivated, adsorbed)","Japanese-encephalitis virus, inactivated (attenuated strain SA14-14-2 grown in vero cells)","Encephalitis, Japanese;Immunization",Vaccines
1239,Galafold,migalastat,Migalastat hydrochloride,Fabry Disease,migalastat
1240,Pantozol Control,pantoprazole,pantoprazole,Gastroesophageal Reflux,Proton pump inhibitors
1241,Elfabrio,pegunigalsidase alfa,Pegunigalsidase alfa,Fabry Disease,Other alimentary tract and metabolism products
1242,Trisenox,arsenic trioxide,Arsenic trioxide,"Leukemia, Promyelocytic, Acute",Antineoplastic agents
1243,Controloc Control,pantoprazole,pantoprazole,Gastroesophageal Reflux,Proton pump inhibitors
1244,Rapiscan,regadenoson,regadenoson,Myocardial Perfusion Imaging,Cardiac therapy
1245,Somac Control,pantoprazole,pantoprazole,Gastroesophageal Reflux,Proton pump inhibitors
1246,Synflorix,pneumococcal polysaccharide conjugate vaccine (adsorbed),Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F,Pneumococcal Infections;Immunization,Vaccines
1247,Fendrix,"hepatitisÿB (rDNA) vaccine (adjuvanted, adsorbed)",hepatitis B surface antigen,Hepatitis B;Immunization,Vaccines
1248,Circadin,melatonin,melatonin,Sleep Initiation and Maintenance Disorders,Psycholeptics
1249,Tarceva,erlotinib,erlotinib,"Carcinoma, Non-Small-Cell Lung;Pancreatic Neoplasms",Antineoplastic agents
1250,Votrient,pazopanib,pazopanib,"Carcinoma, Renal Cell",Antineoplastic agents
1251,Cablivi,caplacizumab,Caplacizumab,"Purpura, Thrombotic Thrombocytopenic",Antithrombotic agents
1252,Darunavir Krka,darunavir,darunavir,HIV Infections,Antivirals for systemic use
1253,Xenical,orlistat,orlistat,Obesity,"Antiobesity preparations, excl. diet products"
1254,Pioglitazone Teva,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Alimentary tract and metabolism
1255,NeuroBloc,botulinum toxin type B,botulinum toxin type B,Torticollis,Muscle relaxants
1256,Inbrija,levodopa,levodopa,Parkinson Disease,Anti-Parkinson drugs
1257,Yselty,linzagolix choline,linzagolix choline,Leiomyoma,Pituitary and hypothalamic hormones and analogues
1258,Verkazia,ciclosporin,ciclosporin,Conjunctivitis;Keratitis,Ophthalmologicals
1259,Stocrin,efavirenz,efavirenz,HIV Infections,Antivirals for systemic use
1260,Evotaz,atazanavir;cobicistat,cobicistat;atazanavir,HIV Infections,Antivirals for systemic use
1261,Raltegravir Viatris,raltegravir potassium,raltegravir potassium,HIV Infections,Antivirals for systemic use
1262,Lamivudine Teva Pharma B.V.,lamivudine,lamivudine,HIV Infections,Antivirals for systemic use
1263,Viramune,nevirapine,nevirapine,HIV Infections,Antivirals for systemic use
1264,Eptifibatide Accord,eptifibatide,eptifibatide,Myocardial Infarction,Antithrombotic agents
1265,Inpremzia,insulin human (rDNA),insulin human (rDNA),Diabetes Mellitus,Drugs used in diabetes
1266,INOmax,nitric oxide,Nitric oxide,"Hypertension, Pulmonary;Respiratory Insufficiency",Other respiratory system products
1267,Mirvaso,brimonidine,brimonidine tartrate,Skin Diseases,Other dermatological preparations
1268,Ceplene,histamine dihydrochloride,Histamine dihydrochloride,"Leukemia, Myeloid, Acute",Immunostimulants
1269,Emtriva,emtricitabine,emtricitabine,HIV Infections,Antivirals for systemic use
1270,Libmeldy,Autologous CD34+ cells encoding ARSA gene,atidarsagene autotemcel,"Leukodystrophy, Metachromatic",Other nervous system drugs
1271,Zerbaxa,ceftolozane;tazobactam,ceftolozane sulfate;tazobactam sodium,Bacterial Infections,Antibacterials for systemic use
1272,Orfadin,nitisinone,nitisinone,Tyrosinemias,Other alimentary tract and metabolism products
1273,Irbesartan Hydrochlorothiazide Zentiva (previously Irbesartan Hydrochlorothiazide Winthrop),irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
1274,Cetrotide,cetrorelix,cetrorelix (as acetate),Ovulation;Ovulation Induction,Pituitary and hypothalamic hormones and analogues
1275,Onbevzi,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
1276,Granpidam,sildenafil,sildenafil citrate,"Hypertension, Pulmonary",Urologicals
1277,Elonva,corifollitropin alfa,corifollitropin alfa,"Reproductive Techniques, Assisted;Ovulation Induction;Investigative Techniques",Sex hormones and modulators of the genital system
1278,DepoCyte,cytarabine,cytarabine,Meningeal Neoplasms,Antineoplastic agents
1279,Capecitabine Medac,capecitabine,capecitabine,Colorectal Neoplasms,Antineoplastic agents
1280,Dasatinib Accord,dasatinib (anhydrous),dasatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
1281,Dasatinib Accordpharma,dasatinib (anhydrous),dasatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
1282,Sancuso,granisetron,granisetron,Vomiting;Cancer,Antiemetics and antinauseants;Serotonin (5HT3) antagonists
1283,Puregon,follitropin beta,follitropin beta,Infertility;Hypogonadism,Sex hormones and modulators of the genital system
1284,Azopt,brinzolamide,brinzolamide,"Glaucoma, Open-Angle;Ocular Hypertension",Ophthalmologicals
1285,Deferasirox Mylan,deferasirox,deferasirox,Iron Overload;beta-Thalassemia,Iron chelating agents
